director,weighted_average_vote,weighted_us_voters_rating,weighted_non_us_voters_rating,movies
Rick Famuyiwa,6.1,6.338857950203603,6.039117683803373,2
Saeed Roustayi,8.05,6.381908553529726,7.274588665195909,2
Garth Davis,6.95,6.838545787645879,6.877119035537554,2
Ross Katz,6.1,6.096546931793886,5.9471987139058715,2
Eran Creevy,5.9,5.853763203146732,5.845832517731153,2
Sacha Gervasi,6.05,6.197173491491974,6.082661941308986,2
Eric Darnell,6.75,6.5822801865056135,6.680144191661924,2
Riley Stearns,6.7,6.604093497060164,6.415519524502235,2
Fouad Mikati,5.0,5.417248251882588,5.020403807092841,2
Robert Redford,6.65,6.590558542038246,6.589389174766533,2
Robert Pulcini,5.85,5.860824853864473,5.73527679623086,2
Roar Uthaug,6.5,6.393210553337313,6.371579706216888,2
Florian Henckel von Donnersmarck,6.85,6.3844875346260395,6.677631451390328,2
Ericson Core,6.65,6.278828861928002,6.5278123023451915,2
Floria Sigismondi,5.15,5.512506986212166,5.429842851820311,2
Espen Sandberg,6.9,6.694916607357058,6.8198209035138895,2
Etan Cohen,4.9,4.988517566409597,5.025603841403576,2
Robert Luketic,5.6,5.416519342392647,5.50588859837539,2
Roel Reiné,6.15,6.063592106337507,6.018327223048406,2
Jennifer Kent,7.05,6.998096900774233,6.906118276945225,2
Gurinder Chadha,6.800000000000001,6.522366162760363,6.526736667872381,2
Justin Chadwick,6.65,6.332103758628868,6.57456992041336,2
Kamil Cetin,3.3499999999999996,5.506418991309149,3.4474018798237664,2
Nanni Moretti,6.75,6.112653711220471,6.59474406030259,2
Karan Malhotra,6.7,6.1676504448793645,6.381568563323404,2
Karyn Kusama,6.4,6.469225379833192,6.2737733480916855,2
Kat Coiro,5.6,5.780339051093832,5.578135724792988,2
Nadine Labaki,7.95,7.022097283499653,7.686091306088853,2
Nacho Vigalondo,5.7,5.843036251969132,5.629105207093462,2
Kathryn Bigelow,7.35,7.339383186518706,7.25748378272193,2
Mélanie Laurent,6.65,6.296773830404578,6.41903295878626,2
Måns Mårlind,6.25,6.226650240314893,6.136243801840708,2
Ken Kwapis,6.4,6.377815915680664,6.2897200242535085,2
Kenneth Lonergan,7.1,7.092222303214587,7.051740837001059,2
Keoni Waxman,5.0,5.574235524685131,5.045160706415257,2
Mohan Raja,7.2,6.312259867272092,6.649358168349367,2
Kevin Goetz,5.25,5.728870884237539,5.398238009079585,2
Kevin Munroe,5.35,5.627462167268375,5.310510181062317,2
Mira Nair,7.15,6.671794919154941,6.870422224709952,2
Kieran Darcy-Smith,5.85,5.8447257443704945,5.814340712643032,2
Kim Nguyen,6.65,6.259537355814946,6.439859458820118,2
Mike Thurmeier,6.15,5.969025547215805,6.097040223099848,2
Mike Mills,7.25,7.238520505236448,7.1421912713312405,2
Kirk Jones,5.85,5.93200373338324,5.743272108323945,2
Kivanç Baruönü,6.6,6.017897344670245,6.416733260203509,2
Nat Faxon,6.1,6.3919266655046965,6.22021731482339,2
Julius Onah,6.1,6.087103260615306,5.944397291930608,2
Jonathan Baker,5.5,5.696174595389897,5.5038097287989665,2
Julius Avery,6.5,6.528202873789748,6.415143310378503,2
Ol Parker,6.85,6.567597807900425,6.699484343243597,2
Jonathan Goldstein,6.5,6.525152142245228,6.438348041802966,2
Jonathan Teplitzky,6.6,6.4332304884384035,6.489105768518677,2
Nimród Antal,6.800000000000001,6.634227890532782,6.57534211251382,2
Nima Nourizadeh,6.35,6.229712493601463,6.291276835618386,2
Jordan Peele,7.300000000000001,7.416563493395674,7.137871576970776,2
Nikolaj Arcel,6.55,6.449451154131119,6.515909049379582,2
Jordan Vogt-Roberts,6.85,6.930863725818343,6.729570735427996,2
Niki Caro,7.2,6.998014702844417,7.013054372624008,2
Jorma Taccone,6.1,6.218066811515627,5.986860537791996,2
Joseph Cedar,6.6,6.333532858649553,6.341990669722527,2
Niels Arden Oplev,5.85,5.83665581028437,5.852462275612144,2
Josh Boone,7.45,7.313210623551776,7.3237995626261565,2
Josh Gordon,5.949999999999999,6.039752314065535,5.8468816265435954,2
Nicolas Benamou,6.6,6.001185230704863,6.336790492557002,2
Josh Radnor,6.75,6.60493582973756,6.692946310564782,2
Nick Morris,8.8,7.605587804435288,7.787190333316937,2
Julian Gilbey,6.1,6.053106682297773,6.016020884642351,2
Neill Blomkamp,6.699999999999999,6.626480585526056,6.692511502937332,2
Neil Marshall,5.800000000000001,5.859634096439068,5.751736538968087,2
Julie Anne Robinson,5.65,5.494471376390782,5.510923351567962,2
Neil Jordan,6.25,6.281351455420067,6.1705249897229955,2
Julien Maury,5.35,5.652704635534556,5.302333689117795,2
Mike Leigh,7.05,6.832946155229581,6.969741472449483,2
Kris Pearn,6.4,6.240261031153258,6.1945279625907625,2
Mike Cahill,7.2,6.984333465905155,7.0742755578747785,2
Mike Birbiglia,6.75,6.803617752342197,6.366599110182946,2
Luke Greenfield,6.15,5.995250104532921,6.091995452667828,2
Lynn Shelton,6.550000000000001,6.523977849113249,6.405474612133423,2
Lynne Ramsay,7.15,7.115110130687322,7.076643500984681,2
Maïwenn,7.199999999999999,6.33763804042402,7.015152459914653,2
Maya Forbes,6.45,6.313237561153413,6.310952924933233,2
Max Giwa,5.800000000000001,5.785943072942164,5.660585997875632,2
Mahsun Kirmizigül,6.75,6.10616152634956,6.3888931008339656,2
Matthew Ross,5.1,5.502443609022556,5.181257320721283,2
Marc Lawrence,6.25,6.280891900941636,6.03704356585243,2
Marc Meyers,5.65,5.929620000054824,5.643614172070972,2
Matteo Garrone,6.800000000000001,6.3503318831766755,6.715416019464801,2
Marcus Dunstan,5.949999999999999,6.055761216366046,5.8430086226986715,2
Marcus Nispel,4.85,5.263919617949016,4.947962455338132,2
Marjane Satrapi,6.7,6.299291389405826,6.541467300441245,2
Matt Johnson,6.5,6.2786015753308195,6.126899776778345,2
Mark Duplass,6.4,6.545307306087887,6.274899634051499,2
Mark Neveldine,4.55,4.860241340354478,4.583863712268523,2
Mastan Alibhai Burmawalla,5.5,5.71825869454068,5.461452454927821,2
Mark Raso,6.949999999999999,6.62366777482344,6.659371254221302,2
Mark Steven Johnson,5.5,5.512406946961208,5.365313472988875,2
Marwan Hamed,8.2,6.784067189879736,7.1471013677073705,2
Martin McDonagh,7.699999999999999,7.654569240242737,7.5873205167364866,2
Martin Owen,4.65,5.650025321117813,4.718387660598909,2
Michael Almereyda,6.449999999999999,6.351601615727548,6.284224136062589,2
Lucky McKee,5.55,5.893021224071046,5.476782477167133,2
Michael Cuesta,6.550000000000001,6.598088280263556,6.418819305430105,2
Lee Daniels,6.5,6.3327088162904435,6.3857442518787035,2
Kyle Newacheck,5.7,5.909749010974501,5.6161179173844324,2
Michel Gondry,6.15,6.012874281997634,6.108377445812302,2
Lana Wachowski,6.35,6.343879571768166,6.347546067255778,2
Lance Daly,6.15,6.052580590113268,6.078853480804752,2
Larry Charles,5.75,5.864787049515183,5.7787465228899135,2
Lars Klevberg,5.449999999999999,5.704252974878801,5.37093376877872,2
Michaël R. Roskam,7.25,7.036533846044872,7.134767507791038,2
Laurence Connor,8.8,7.605587804435288,7.787190333316937,2
Michael Sucsy,6.6,6.318117592726911,6.548798863346378,2
Laurent Tirard,5.8,5.81323086196504,5.760216884323114,2
Lee Toland Krieger,6.9,6.853605804008104,6.808870553618436,2
Luc Dardenne,7.35,7.187457562859276,7.2233387735563195,2
Lee Unkrich,8.350000000000001,8.358807582273599,8.235745605813765,2
Lenny Abrahamson,7.55,7.520074197829045,7.475725227855873,2
Leslye Headland,5.9,6.0695125198882,5.79248839796396,2
Michael J. Gallagher,4.45,4.969050926202312,4.711642479429102,2
Michael Hoffman,6.2,6.048287705306577,6.084862246442627,2
Michael Haneke,7.300000000000001,6.990688739036171,7.168780519257205,2
Lin Oeding,6.0,5.955514844325096,5.70810375008821,2
Michael Goetz,5.25,5.728870884237539,5.398238009079585,2
Liza Johnson,6.25,6.198866047347625,6.107410182775339,2
Michael Dougherty,6.05,6.320457572352714,5.892645643800694,2
Jonathan Dayton,6.95,6.849414467625989,6.8644561744486285,2
Jonas Åkerlund,6.4,6.319447320359396,6.2818481173661755,2
Gurmeet Ram Rahim Singh,6.300000000000001,5.667221839293762,4.250126685896936,2
Ivan Reitman,6.5,6.364605553436123,6.423102686919597,2
Jack Heller,6.05,6.091342034993876,5.90835233859306,2
Phillip Noyce,6.45,6.475466964389413,6.341443482997077,2
Philippe de Chauveron,6.55,6.127520435967303,6.468279550255829,2
Philipp Stölzl,6.65,6.415218929638326,6.553599875125585,2
Jake Schreier,6.699999999999999,6.625351797810324,6.574468597527741,2
Jake Szymanski,5.75,5.927697502769751,5.623181518070047,2
Jalmari Helander,6.050000000000001,6.151912871432746,5.934184364693719,2
James Foley,4.55,4.808841373303656,4.401720366231978,2
James Franco,5.300000000000001,6.140034486793555,5.568788619073613,2
James Kent,6.8,6.526350884887471,6.65712701144947,2
Peyton Reed,7.199999999999999,7.271357960628345,7.040851806966035,2
James Nunn,5.550000000000001,5.811983098868345,5.596426676666361,2
Peter Strickland,6.35,6.299575849080099,6.272319697624038,2
James Watkins,6.35,6.287067638250306,6.280808787553534,2
Peter Ramsey,7.85,7.835008973957466,7.677573945172398,2
Jason Bateman,6.35,6.405040825251266,6.197666114683127,2
Jason Eisener,6.05,6.213912676214015,5.9376644900884,2
Peter Hedges,6.65,6.485330175963924,6.520482560654065,2
Jason Lei Howden,6.3,6.318357285421984,6.151597816769209,2
Jason Moore,6.6,6.677765792101011,6.391621611525998,2
Peter Chelsom,6.7,6.525344824583494,6.560119715938793,2
Jaume Balagueró,6.25,6.201365301365302,6.239567688513446,2
Jay Chandrasekhar,5.45,5.798485226565772,5.417498679402716,2
Prachya Pinkaew,5.199999999999999,5.537911466460898,5.208061050734893,2
Isabel Coixet,5.6,5.8756316811493825,5.601930694153491,2
Jon Wright,5.449999999999999,5.918346908220659,5.458870705957993,2
Isaac Florentine,5.95,5.981961983771995,5.786829588006437,2
Reinhard Klooss,4.85,5.402814983597466,4.96306756623658,2
Habib Faisal,6.3,6.0135634329314875,6.1350986402186685,2
Reema Kagti,7.25,6.628441868259696,6.848048993333473,2
Haifaa Al-Mansour,6.95,6.603195737153346,6.815469303049678,2
Han-min Kim,7.15,6.708709769416759,6.838861386507562,2
Hansal Mehta,8.0,6.512878074306646,7.4082407743333265,2
Hany Abu-Assad,6.95,6.58066577678281,6.777894509450125,2
Hark Tsui,6.3,6.171204414602242,6.168007078486211,2
Harmony Korine,5.4,5.632247005516101,5.372338426404802,2
Harold Cronk,4.550000000000001,4.98954239405295,4.135839604645433,2
Randall Wallace,6.5,6.524908817850247,6.249929365562601,2
Ramin Bahrani,6.0,6.059116887495015,5.91576531133497,2
Ralph Fiennes,6.1,6.219688844908595,6.008279438843154,2
Herman Yau,6.65,6.435781319207839,6.480353789487175,2
Rajkumar Hirani,7.949999999999999,7.431103224253606,7.657001368679643,2
Raja Gosnell,5.35,5.105032101327875,5.413873125087175,2
Raj Kumar Gupta,7.300000000000001,6.504837493685964,6.952240708669515,2
Hong-jin Na,7.35,7.039441040882622,7.244545057765061,2
Hoon-jung Park,7.35,6.713637230025136,7.017183575105674,2
Hun Jang,7.65,6.722298640015454,7.2256448679525604,2
Iain Morris,6.1,6.02359128310041,6.071352352241025,2
Puri Jagannadh,7.25,6.114722171994187,6.45166138591833,2
Indra Kumar,4.25,5.5175019090541575,4.754493342026645,2
Jay Duplass,6.4,6.545307306087887,6.274899634051499,2
Perry Bhandal,6.15,6.1640960296923595,5.81160837215017,2
Jean-François Richet,6.35,6.294874007694004,6.194327898125428,2
Jean-Jacques Annaud,6.7,6.1084988571736405,6.470622759182882,2
Paco Cabezas,5.65,5.84547488110204,5.615667531182708,2
Joel Edgerton,6.95,6.923834795712114,6.846309713867001,2
Joel Schumacher,5.5,5.4995730024259615,5.46476091200447,2
Pablo Trapero,6.9,6.190733932511785,6.682565933771156,2
Pa. Ranjith,6.45,6.086353970212733,6.008990075481402,2
John Cameron Mitchell,6.35,6.39747630225528,6.27925956652494,2
John Carney,7.65,7.598119851798644,7.5089755312570645,2
John Francis Daley,6.5,6.525152142245228,6.438348041802966,2
John Hillcoat,6.8,6.707646687893281,6.685197410177105,2
John Hyams,4.75,5.399744476509381,4.840492416477288,2
John Krasinski,7.0,7.054779048281075,6.828131620840019,2
Oren Moverman,5.15,5.429343196922443,5.299168707401905,2
John Luessenhop,5.5,5.44971120576539,5.46770611634772,2
Onur Ünlü,7.85,6.1294798997606605,7.442703999301647,2
John Moore,5.4,5.460160402368194,5.321413942916235,2
John Pogue,5.15,5.390848847956692,5.1155607295525005,2
Oliver Hirschbiegel,6.25,5.9255259655070045,6.103597552526691,2
Johnny Martin,5.2,5.50768771569396,5.2178964863309965,2
Jon Cassar,5.699999999999999,5.870955714898759,5.6814522787444135,2
Jon Gunn,6.199999999999999,6.262452563061554,5.541081235149032,2
Jon Knautz,5.5,5.806727503682105,5.451089563744734,2
Jon S. Baird,7.15,6.849779185351672,6.994074863422753,2
Jon Stewart,6.4,6.240667107167053,6.161006922125061,2
Paco Plaza,5.6,5.863189557665885,5.5557344885442275,2
Joe Cornish,6.3,6.6058052988982885,6.17759866598034,2
Panos Cosmatos,6.35,6.501007998730081,6.121394607565012,2
Paul Haggis,6.85,6.555153273709832,6.821845005913764,2
Jean-Pierre Dardenne,7.35,7.187457562859276,7.2233387735563195,2
Jeff Tremaine,6.75,6.6464150308140475,6.650040110936187,2
Jeffrey Friedman,6.45,6.272232937251832,6.326085508439444,2
Jen Soska,5.5,5.928673610087935,5.452671957464901,2
Paul McGuigan,6.35,6.19027673243374,6.197298395596315,2
Paul King,7.5,7.440042735569205,7.396698049264682,2
Douglas Aarniokoski,4.85,5.346261316489112,4.943956577426677,2
Jennifer Lee,7.15,7.161043755802613,7.082605074804405,2
Paul Hyett,5.75,5.955037709916377,5.6141884131202735,2
Jeong-beom Lee,7.3,7.053822185156054,6.99221573308305,2
Jeremy Degruson,6.15,5.972630544755216,6.0336966648891055,2
Jodie Foster,6.55,6.436831589818377,6.573157867490827,2
Jesse Peretz,6.5,6.479984323948443,6.4415942590301585,2
Jesse V. Johnson,6.0,6.0130817387270294,5.868756716777936,2
Pascal Laugier,6.15,5.987334674703337,6.070639045070724,2
Jim Field Smith,6.300000000000001,6.447458718527949,6.174886799701957,2
Paolo Virzì,7.25,6.233222800272096,6.968280670128799,2
Jim Rash,6.1,6.3919266655046965,6.22021731482339,2
Jim Sheridan,6.35,6.080268922358308,6.135499848577102,2
Jim Strouse,6.7,6.477843273149883,6.38008201555054,2
Jimmy Hayward,5.25,5.1473845455255764,5.307275768548376,2
Paolo Genovese,7.4,6.526212030590209,7.202529596459617,2
Dragan Bjelogrlic,8.2,6.180458853803748,7.60600875793745,2
A.L. Vijay,6.1,5.919871794871796,5.567934782608695,2
Bobcat Goldthwait,6.15,6.267626445118312,6.106395764366911,2
Ben Palmer,6.75,6.600960935534461,6.6701448994593555,2
Brett Ratner,6.1,6.04246578605688,5.995616295562835,2
Brett Simmons,4.95,5.512276996029014,4.937278158112764,2
Taylor Sheridan,6.35,6.650974774543924,6.292661568684025,2
