duration,weighted_average_vote,weighted_non_us_voters_rating,weighted_us_voters_rating
82,6.8,5.773880597014926,5.9270611057226
50,6.4,5.792361111111111,5.9140625
75,6.2,5.912147380541163,5.949170437405732
86,6.4,5.889473684210526,6.265074393108849
77,5.8,5.690416263310746,5.926934097421204
97,6.9,5.751252408477842,5.948826291079812
119,6.9,5.965402124430956,6.188838268792711
89,6.8,5.738374291115313,5.962790697674419
99,6.8,6.040369393139843,6.535038363171356
80,5.9,5.688235294117646,5.906629318394025
52,6.2,5.784092863284609,5.916513761467891
112,6.1,5.6424954792043405,6.135809018567639
80,6.7,6.090243902439024,6.392575826165686
80,6.4,5.821448467966574,6.215584415584416
98,6.9,5.985365853658537,6.012058023572076
70,6.2,5.659143968871595,5.937681159420291
90,7.1,5.896216680997421,6.031884057971015
75,6.3,5.797907949790795,5.95651358950328
60,7.1,6.133910726182545,6.296594857539958
83,6.1,5.708003679852806,5.938219895287959
61,6.5,5.755432780847146,5.919211822660099
74,6.2,5.711498586239397,5.917247879359096
117,7.0,6.499807618314737,6.452873563218391
105,6.5,5.829502852485738,5.940265906932574
60,7.0,6.138146811071,6.385973700688792
68,4.9,5.632835820895522,5.827272727272728
70,6.7,5.758572752548656,6.024731182795699
74,5.4,5.660224089635855,5.881323662737987
100,6.2,5.724715162138476,6.014225941422594
110,6.6,5.798860648553901,5.940820130475303
100,6.7,5.700000000000001,6.138174273858922
68,6.4,5.731835205992509,5.970815450643777
86,6.9,5.789916743755782,5.91305637982196
94,7.9,7.845996367028328,7.904671115347951
98,6.7,5.870664505672609,6.092097264437691
79,6.4,5.738202247191011,5.957504520795661
125,6.9,6.221650650084794,6.169747899159664
125,6.7,5.777351916376307,6.07563025210084
143,7.2,6.271300448430493,6.513483146067417
72,6.6,5.967935578330893,6.024564183835182
90,6.6,5.716122840690979,5.942746615087041
90,6.8,5.999229152067274,6.1020408163265305
60,5.9,5.6625,5.972552783109405
70,6.3,5.7237885462555065,5.989179755671902
85,5.8,5.7,5.8789265982636145
58,5.8,5.6876172607879925,5.920132953466287
150,6.0,5.735369188696445,5.922807017543859
137,6.9,5.756344276841172,6.107563025210084
58,7.0,6.018126888217523,5.961913696060038
54,6.6,5.814715719063545,6.0769470404984425
60,6.0,5.692678227360308,5.9052132701421804
97,5.8,5.7,5.8923361034164365
100,6.6,5.843185550082103,6.007958477508651
120,6.3,5.7,6.178567128236002
54,6.3,5.7177798682972725,5.994813614262561
128,6.8,5.765420560747663,5.9387475538160475
70,5.2,5.641908325537886,5.8823723228995055
87,7.5,6.418918918918919,6.1470085470085465
98,6.6,5.830894308943089,6.006759098786829
68,6.6,5.766666666666667,6.268085106382978
101,6.9,5.780882352941177,5.936637512147717
183,7.1,6.163987138263666,6.158823529411765
84,5.5,5.6692307692307695,5.895419847328244
133,7.2,6.5231107850330154,6.844238606891442
110,6.2,5.6763668430335095,6.166026038437694
65,7.8,7.421348719798052,7.454828660436137
47,7.4,6.803414028553693,6.550936329588016
135,6.8,5.82739965095986,5.945801526717558
99,6.5,5.761787905346188,5.955712936732767
418,7.5,6.494299413958444,6.473042362002568
74,8.1,7.7622001654259725,7.813250378342021
124,7.0,5.837931034482758,6.135369774919614
80,6.7,5.853356282271945,5.916342412451362
96,6.5,5.759859154929577,6.021453287197232
90,7.0,5.88633034987795,6.262011173184358
74,7.0,5.911532125205931,5.964711447492904
66,6.2,5.745471349353051,5.8912621359223305
136,6.8,6.158288190682557,6.302030456852792
63,7.1,6.553877831159918,6.504761904761905
107,6.6,6.1220392989909715,6.175866851595007
100,6.4,5.7,5.9666034155597725
143,6.8,5.790150842945874,6.054170249355117
86,6.2,5.7156398104265405,5.934615384615385
63,7.4,6.233663366336634,6.525410872313527
82,7.0,6.5674057649667406,6.424986931521172
84,6.2,5.727586206896552,6.144863459037711
111,6.6,6.211231101511879,6.017912552891397
