actors,weighted_average_vote,weighted_us_voters_rating,weighted_non_us_voters_rating,year,movies
Eddie Frateschi,3.2,3.8132182602770843,3.5207505518763793,2018.0,1
Eddie Flake,5.8,5.9,5.606339948012425,2019.0,1
Dougie McConnell,6.3,6.565464502442153,6.1918918042357225,2013.0,1
Douggie McMeekin,5.4,5.39357454772302,5.322103111012875,2019.0,1
Doug Tulloch,5.8,5.9,5.788011029852536,2012.0,1
Dogukan Tuncer,4.0,5.40375939849624,4.173098462478363,2010.0,1
Dom Phelan,6.4,6.248848890749267,6.203536977491962,2010.0,1
Dolunay Soysert,7.2,5.934982332155477,6.790470926376299,2010.0,1
Dolores Ocampo,6.8,6.290084985835694,6.50682302771855,2017.0,1
Dolores Micaela Guzmán Méndez,6.0,5.9,5.942616679418516,2015.0,1
Dolores Fortis,7.2,6.249539333805812,6.785887368184877,2017.0,1
Dolores Fonzi,7.3,6.321621621621622,6.999813158948353,2015.0,1
Dolly Parton,5.7,5.750709939148073,5.500637370010065,2012.0,1
Dolly Mattoo,7.1,6.602313810556761,6.550634802091112,2019.0,1
Dolly Golden,5.3,5.683371298405468,5.365423617926071,2012.0,1
Dole Malalou,7.1,6.506296691568837,6.760677466863034,2012.0,1
Dolan Wilson,7.1,6.739170506912443,6.659239842726082,2019.0,1
Doktor Allwissend,1.3,5.407637655417407,2.9368120085775553,2015.0,1
Doga Zeynep Doguslu,7.6,7.191669020050834,7.5043688343064225,2015.0,1
Domenic Pontone,5.0,5.625273390036453,5.097579649296123,2012.0,1
Dodie Brown,6.2,6.322564658510144,6.059233591520587,2011.0,1
Doc Duhame,6.3,6.525508140896031,6.180238716307012,2017.0,1
Do-yeon Jeon,6.4,6.346560463432295,6.284944115713347,2010.0,1
Do-won Jeong,7.8,7.714229983280699,7.636179717914353,2010.0,1
Do-im Woo,7.6,7.5924088463837425,7.373902364138778,2016.0,1
Do-bin Baek,6.7,6.088194921070693,6.336688121708601,2016.0,1
Do-Yeob Kim,8.3,6.559608411892676,7.383795881826321,2013.0,1
Do-Kyu Ahn,7.3,6.421090473337328,6.777107414716663,2012.0,1
Dmitry Chepovetsky,4.3,5.104887218045113,4.517763260227095,2018.0,1
Dmitriy Miheev,5.7,5.821505376344087,5.6080723280594125,2013.0,1
Dmitriy Lysenkov,5.6,5.789285714285715,5.611321181931393,2013.0,1
Dmitriy Kulichkov,8.0,6.55898105813194,7.670392662654056,2014.0,1
Dome Karukoski,7.2,6.411165048543689,6.994801641586867,2017.0,1
Domenico D'Ippolito,5.7,5.9,5.699999999999999,2011.0,1
Dmitri Belkin,7.1,6.143080939947781,6.760111677591649,2019.0,1
Dominic MacHale,7.1,6.355583126550869,6.79559748427673,2016.0,1
Dominique Daguier,8.5,8.236398568967802,8.49175818515237,2011.0,1
Dominique Briand,8.3,7.921443064686308,8.166647544592232,2010.0,1
Dominique Blanc,6.9,6.552657172629385,6.7214551406040774,2010.0,1
Dominique Besnehard,6.7,6.278947368421052,6.5768927736058105,2017.0,1
Dominika Figurska,1.4,5.34900086880973,2.911290322580645,2016.0,1
Dominik Garcia,5.6,5.736717459151827,5.507564868749527,2015.0,1
Dominick 'Dino' Howard,6.8,6.826836406204273,6.780807816452936,2013.0,1
Dominic Sherwood,5.5,5.55135447425857,5.318772292096865,2014.0,1
Dominic Ryan Gabriel,6.8,6.384443200895355,6.461791329204383,2017.0,1
Dominic Raacke,5.3,5.45174506828528,5.3305343511450385,2012.0,1
Dominic Philie,7.2,6.599815327793167,7.0619674243121375,2011.0,1
Dominic Mafham,6.6,6.076661083193747,6.118785865297493,2018.0,1
Dominic Liriano,7.4,7.205749805749806,7.252746603662137,2016.0,1
Domenico Di Michele,6.3,6.291961970613656,6.156822107081174,2013.0,1
Dominic Lam,6.7,6.30221238938053,6.442732184203756,2015.0,1
Dominic L. Santana,5.8,5.671821881733301,5.788287655188569,2017.0,1
Dominic Hoffman,7.6,7.584711458400052,7.467954994570152,2018.0,1
Dominic Good,7.0,6.864431846191767,6.850259067357514,2018.0,1
Dominic Dierkes,5.8,6.161280330407847,5.605533115697449,2013.0,1
Dominic Cuzzocrea,6.2,6.0916998671978755,6.193275412217231,2013.0,1
Dominic Colón,7.4,7.139987074139046,7.282559977327971,2015.0,1
Dominic Chianese,6.0,5.809344047841525,5.993388429752066,2011.0,1
Dominic Burgess,5.6,5.813213530655391,5.514848912317174,2019.0,1
Dominic Boyle,7.5,7.30544747081712,7.355422697713447,2016.0,1
Dominic Borrelli,3.8,3.996296296296296,3.907030193780982,2011.0,1
Domenico Minutoli,7.3,6.990196946227042,7.200336364768905,2010.0,1
Dmitriy Bykovskiy-Romashov,7.6,7.2463490742666945,7.533312274051454,2014.0,1
Djinda Kane,3.9,5.2989010989011,4.4819592628516,2016.0,1
Doug Spearman,7.5,6.680920421860019,6.928170968637247,2012.0,1
Dimitris Fryliggos,6.4,6.167657992565056,6.293080800366581,2011.0,1
Diogène Ntarindwa,7.0,6.287078651685395,6.666990291262136,2016.0,1
Diogo Morgado,5.7,5.9,5.277519379844961,2014.0,1
Dio Johnson,4.1,4.936806635562468,4.3483606557377055,2015.0,1
Dino Morea,5.0,5.285008818342152,5.0566847518017655,2014.0,1
Dino Andrade,7.6,6.789250814332249,7.15511380005762,2019.0,1
Dineth De Silva,9.0,8.70848026868178,6.858718063648588,2017.0,1
Dinesh Kumar,7.6,7.28530174009626,7.420739762219286,2018.0,1
Dinah Nicholson,7.5,7.588434362216438,7.363744934954149,2017.0,1
Dina Meyer,5.4,5.806083465141745,5.308311342905229,2010.0,1
Dina Fakhoury,6.3,6.025187406296852,5.987069452286843,2014.0,1
Dimitris Lignadis,7.4,6.058460304731356,6.951112080244221,2015.0,1
Dimitris Katalifos,7.9,6.144520547945206,7.232054281703323,2016.0,1
Dimitris Bosinakos,6.4,6.167657992565056,6.293080800366581,2011.0,1
Dion Riley,6.7,6.293814432989691,6.512756882512602,2018.0,1
